Name,M,P,A,R,Location,Address,State,Directions,Lat,Lng,Schedule,Time,Contact,Caller,Website,Status
Buckles & Bows,yes,no,no,no,4-H Senior Citizens Building,"1107 South Spring Valley Rd., Junction City, KS",KS,,,,third Saturday,19:30,"",,
Council Grove Squares,yes,no,no,no,Morris County Senior  Citizens Center,"227 W. Main Street, Council Grove, KS",KS,,,,2nd & 4th Monday,19:30,(785) 499-6685,,
Fun 'N Rounds,no,no,no,yes,St. Luke's Lutheran Church,"330 Sunset Avenue, Manhattan, KS",KS,,,,every other Sunday,17:00,(785) 485-2355,,
Lone Wranglers,yes,no,no,no,Manhattan Senior Center,"412 Leavenworth, Manhattan, KS",KS,,,,1st & 3rd Tuesday,19:30,(785) 539-4424,,
Salina Twirlers,yes,no,no,no,Belmount Boulevard Christian Church,"2508 Belmont Blvd., Salina, KS",KS,,,,1st & 3rd Friday,19:30,(785) 825-5905,,
Advanced Workshop,yes,no,no,no,Kaw ValleyDoug Gregg & Frannie Coble,"P. O. Box 1306, (Advanced program) Topeka, KS",KS,,,,,,"(620) 343-2674, (620) 412-1444",,
E-Mail: Bluestemswingers@gmail.com Activity Center,yes,no,no,no,Suite 105,"Every Sun., 200 SW 30th St., KS",KS,,,,every Sunday,15:00,"(785) 554-7221, (785) 845-7556",,
Bluestem Swingers,yes,no,no,no,Senior Center,"603 East 12th Avenue, Emporia, KS",KS,,,,2nd & 4th Saturday,19:30,"(620) 343-2674, (620) 412-1444",,
Cap-Teen Squares & Family,yes,no,no,no,IOOF Hall,"Sardou & Chester, Topeka, KS",KS,,,,2nd & 4th Sunday,19:00,(785) 969-1214,,
Crazy Eights,yes,no,no,no,MO.,"Graceway Church Fellowship Hall, (2 Locations) 1) Raytown, KS",KS,,,,,19:00,(913) 642-2219,,
DJ's Plus,yes,yes,no,no,First Christian Church,"202 East 12th Street, Emporia, KS",KS,,,,first Friday,19:30,(620) 342-8480,,
Docey Dandies,yes,no,no,no,Gardner Grange,"Fairgrounds, Gardner, KS",KS,,,,2nd & 4th Saturday,19:30,(913) 592-3850,,
Friendship Squares,yes,no,no,no,Croco Hall,"6115 SE US Hwy. 40, Topeka (Tecumseh), KS",KS,,,,Friday & Saturday,19:30,(785) 554-7221,,
Frontier Twirlers,yes,no,no,no,City Auditorium,"5th & Main, Osawatomie, KS",KS,,,,1st & 3rd Friday,20:00,(913) 294-2142,,
Happy Time Squares,yes,no,no,no,First United Methodist Church,"Campus West, Lawrence, KS",KS,,,,second Saturday,19:30,(913) 796-6784,,
Kansas City (KC) Plus,yes,yes,no,no,Countryside Christian Church,"6101 Nall Avenue, Mission, KS",KS,,,,second Sunday,19:00,(785) 554-7221,,
Monday Night Workshop,yes,no,no,no,Croco Hall,"6115 SE US Hwy. 40, Topeka, KS",KS,,,,1st & 3rd Monday,19:00,(785) 286-7466,,
Ottawa Promenaders,yes,no,no,no,Ottawa Middle School,"1230 Ash, Ottawa, KS",KS,,,,1st & 3rd Saturday,19:30,(785) 242-5509,,
Plus Squares Workshop,yes,yes,no,no,Kaw Valley Dance Center,"Suite 105, Topeka , KS",KS,,,,1st & 3rd Sunday,19:00,(785) 554-7221,,
Riverbend Promenaders,yes,no,no,no,Trinity Lutheran School,"8th & Kearney, Atchison, KS",KS,,,,1st & 3rd Saturday,19:30,(913) 774-7459,,
Seneca Squares,yes,no,no,no,Valention&#39;s 604 N 11th Street,"1st & 3rd Sun, Seneca, KS",KS,,,,1st & 3rd Sunday,19:30,"(785) 562-3295, (785) 713-1367",,
St. Joe Squares,yes,no,no,no,St. Peter Lutheran Church,"3524 St. Joseph Ave., St. Joseph, MO",MO,,,,1st & 3rd Friday,19:30,(816) 233-9096,,
Swingin&#39; Singles,yes,no,no,no,Old Shawnee Town Hall,"11600 Johnson Drive. Shawnee, Shawnee, KS",KS,,,,3rd & 5th Tuesday 7:00pm. Gloria Cain,19:00,(816) 750-4577,,
Swinging Squares,yes,no,no,no,Croco Hall,"6115 SEHwy. 40, Topeka, KS",KS,,,,every other Saturday,19:30,(785) 267-0353,,
